R_PRODUCTO;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
59;0.9988487108165248;0.9999987834973043;0.9991325677592326;0.9999975625017031;0.9995192885005014;0.9999979627104182
60;0.996993170397407;0.9999987412359578;0.9977252687175532;0.9999978748925947;0.9987431545753445;0.9999949675258547
61;0.9997842173106528;0.9988913690742249;0.9999912900238361;0.9964032550656774;0.9999599077520259;0.9899574379277886
62;0.999999989721321;1.0;0.999999998082273;1.0;0.999999924662315;1.0
63;0.9999998058176096;0.9996975697538221;0.9999999432394802;0.9992905764316088;0.9999990006550964;0.999500964601765
64;0.9999989308279015;0.9999543521456631;0.9999981409432462;0.9998949127368447;0.9999912197045988;0.9999123934995541
65;0.9999980457535963;0.0;0.999988045933101;0.0;0.9999868274040743;0.0
66;0.9999864830387134;0.9995265061149311;0.999997878216309;0.9992048230580322;0.9997918685241571;0.9994378945964969
67;0.9999721149395732;0.9996979258999171;0.9998929488189724;0.9989842351554457;0.9999521347354162;0.9994275808549578
68;0.9999999240669991;0.9993599662806949;0.9999991673475007;0.9994727259544082;0.9999957762908225;0.9945120244151849
69;1.0;0.9994750826386207;1.0;0.9994376955984422;1.0;0.9986131145420388
70;0.9999991065535513;0.9996928853585665;0.9999987949825109;0.9993213683874163;0.9999970807052788;0.9987634842873342
71;0.9999575712467295;0.9996037823658283;0.9999298743415681;0.998331381061215;0.9998847903948201;0.9992672410214363
72;0.9999879850602935;0.9997803261659354;0.9999412371236747;0.9995558446721773;0.9999518790941998;0.9988421592112046
73;0.9999983891683951;0.9999219879754494;0.9999989123639185;0.9998623546141323;0.9999989719224525;0.9981076206951649
74;0.9999994185405249;0.9982303952701479;0.999962446916107;0.9954714644128396;0.99998431834486;0.9950787426900543
75;0.9998862125550002;0.9991557708766639;0.9978324829020322;0.998018094045147;0.9939866438166703;0.997308111887764
76;0.9999985446122073;0.9999401001298533;0.9999970599951535;0.9999337957957121;0.9999918816697855;0.9997739192765164
77;0.9999999895806514;0.9998094475512528;0.999999960463408;0.9997661461792572;0.9999999599270208;0.999527254269639
78;0.9999979505918751;0.9994945542819978;0.9999930191358076;0.9989655620177706;0.9999816652182157;0.9981151739642737
79;0.9999972408021178;0.9998209319209724;0.999987251680235;0.9994617726029322;0.9999820906497112;0.9988116447525298
80;0.9999999879804345;0.998855511607588;0.9999999679823067;0.9982823760779423;0.9999999792019876;0.9952482569103815
81;0.999997392149372;0.9968607930587952;0.9999996096499838;0.9975728820876812;0.9999957464665816;0.9960826327524251
82;0.9972759343737004;0.9938901939761823;0.9993228410538124;0.998606137443022;0.9988699349447844;0.9987137085652726
83;0.999784604974116;0.9995343230997836;0.9999847169083063;0.9989439353707495;0.9999590836065045;0.9969481258951223
84;1.0;0.0;1.0;0.0;1.0;0.0
85;0.9999860489407014;0.998557829072795;0.9981902289042368;0.9962822920301233;0.99504418405122;0.9947495944150974
86;0.9999928883352096;0.9969660370716413;0.9999568603565957;0.9888656736592183;0.9999434342778296;0.9934772489879306
87;0.9999594839453966;1.0;0.9998073817702683;1.0;0.99872475922137;1.0
88;0.9999521609856056;0.9990422167135454;0.9998716886157131;0.9986263823920122;0.9997389248855699;0.9944659982451644
89;0.9996036514834996;0.9992444797059143;0.9993139343775593;0.9942735633171266;0.9985051603385773;0.9869122391363463
90;0.995168453021292;0.9999990617861749;0.9993668213672461;0.9999992921201777;0.9997806516875791;0.9999918403175915
91;0.9999457085353545;0.9994946888085053;0.999985525271679;0.998391069805048;0.9999948281613846;0.994546466676683
92;0.9999712054846963;0.9983997354888781;0.999981842395261;0.9963009597926948;0.9999828966493522;0.9920947003331901
93;0.9999930682461201;0.9994953034943377;0.9999897521204186;0.9990119072570884;0.9999855950395206;0.9981298963702635
94;0.9999989499625602;0.9999234371630232;0.9999984020516245;0.9996878322493206;0.9999966271701193;0.9947417614268885
95;0.9999841841112012;0.9993716867489723;0.9999885716506801;0.9986302440252933;0.9999941392935126;0.9973665599514567
